username,Domain,crawl_type,author_signature,join_date,lastactive,totalposts,FetchTime,groups,reputation,credits,awards,rank,activetime,contactinfo,reference_url
besoeso,forum.exetools.com,catchup,,1272652200,1341250860, 141,1541828412000,Family,100,,,,"[ { ""year"": ""2012"",""month"": ""7"", ""dayofweek"": ""2"", ""hour"": ""17"", ""count"": "" 141"" }]",,https://forum.exetools.com/member.php?u=35219
2late,forum.exetools.com,keepup,,1067625000,1289108340, 44,1541828411000,Friend,6,,,,"[ { ""year"": ""2010"",""month"": ""11"", ""dayofweek"": ""7"", ""hour"": ""5"", ""count"": "" 44"" }]",,https://forum.exetools.com/member.php?u=11383
NeOXOeN,forum.exetools.com,keepup,,1104517800,1289237100, 272,1541828411000,Friend,0,,,,"[ { ""year"": ""2010"",""month"": ""11"", ""dayofweek"": ""8"", ""hour"": ""17"", ""count"": "" 272"" }]",,https://forum.exetools.com/member.php?u=19405
romero,forum.exetools.com,keepup,"Attached Files
					
					
	
	Cracking Java byte-code encryption.pdf (86.6 KB, 167 views)

	
	Cracking String Encryption in Java Obfuscated Bytecode.pdf (113.0 KB, 142 views)",1283279400,1289436360, 39,1541828411000,Friend,24,,,,"[ { ""year"": ""2010"",""month"": ""11"", ""dayofweek"": ""11"", ""hour"": ""0"", ""count"": "" 39"" }]",,https://forum.exetools.com/member.php?u=35528
nuemga2000,forum.exetools.com,keepup,,1009823400,1289482020, 49,1541828411000,Friend,2,,,,"[ { ""year"": ""2010"",""month"": ""11"", ""dayofweek"": ""11"", ""hour"": ""13"", ""count"": "" 49"" }]",,https://forum.exetools.com/member.php?u=63
tonyweb,forum.exetools.com,keepup,,1230748200,1294694700, 123,1541828411000,Family,86,,,,"[ { ""year"": ""2011"",""month"": ""1"", ""dayofweek"": ""10"", ""hour"": ""21"", ""count"": "" 123"" }]",,https://forum.exetools.com/member.php?u=33461
hobgoblin,forum.exetools.com,keepup,,1009823400,1295815860, 123,1541828411000,Friend,0,,,,"[ { ""year"": ""2011"",""month"": ""1"", ""dayofweek"": ""23"", ""hour"": ""20"", ""count"": "" 123"" }]",,https://forum.exetools.com/member.php?u=418
cw2k,forum.exetools.com,keepup,,0,1309178760, n/a,1541828411000,,,,,,"[ { ""year"": ""2011"",""month"": ""6"", ""dayofweek"": ""27"", ""hour"": ""12"", ""count"": "" n/a"" }]",,
sendersu,forum.exetools.com,catchup,,1285871400,1508787300, 813,1541828415000,VIP,216,,,,"[ { ""year"": ""2017"",""month"": ""10"", ""dayofweek"": ""23"", ""hour"": ""19"", ""count"": "" 813"" }]",,https://forum.exetools.com/member.php?u=35548
jacalhu,forum.exetools.com,keepup,,1312137000,1314679800, 16,1541828411000,Friend,4,,,,"[ { ""year"": ""2011"",""month"": ""8"", ""dayofweek"": ""30"", ""hour"": ""4"", ""count"": "" 16"" }]",,https://forum.exetools.com/member.php?u=36003
leader,forum.exetools.com,keepup,,1506796200,1526325120, 9,1541828411000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""5"", ""dayofweek"": ""14"", ""hour"": ""19"", ""count"": "" 9"" }]",,https://forum.exetools.com/member.php?u=37348
g0em0n,forum.exetools.com,keepup,,1464719400,1526337420, 7,1541828411000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""5"", ""dayofweek"": ""14"", ""hour"": ""22"", ""count"": "" 7"" }]",,https://forum.exetools.com/member.php?u=37136
